Location,Date,Temperature,Humidity,AirQualityIndex
Woodland Park,2021-04-22,15.5,45,42
Riverside,2021-04-23,17.0,50,38
Lake View,2021-04-24,19.2,55,35
Meadowlands,2021-04-25,21.1,60,29
Greenwood,2021-04-26,22.0,65,25
Woodland Park,2021-04-27,15.7,46,41
Riverside,2021-04-28,17.5,51,37
Lake View,2021-04-29,19.0,56,34
Meadowlands,2021-04-30,21.5,61,28
Greenwood,2021-05-01,22.5,66,24
Woodland Park,2021-05-02,16.0,47,40
Riverside,2021-05-03,17.2,52,36
Lake View,2021-05-04,18.5,57,33
Meadowlands,2021-05-05,21.8,62,27
Greenwood,2021-05-06,23.0,67,23
Woodland Park,2021-05-07,16.5,48,39
Riverside,2021-05-08,17.7,53,35
Lake View,2021-05-09,18.7,58,32
Meadowlands,2021-05-10,22.0,63,26
Greenwood,2021-05-11,23.5,68,22
Woodland Park,2021-05-12,17.0,49,38
Riverside,2021-05-13,18.0,54,34
Lake View,2021-05-14,19.5,59,31
Meadowlands,2021-05-15,22.5,64,25
Greenwood,2021-05-16,24.0,69,21
Woodland Park,2021-05-17,17.5,50,37
Riverside,2021-05-18,18.5,55,33
Lake View,2021-05-19,20.0,60,30
Meadowlands,2021-05-20,23.0,65,24
Greenwood,2021-05-21,24.5,70,20
Woodland Park,2021-05-22,18.0,51,36
Riverside,2021-05-23,19.0,56,32
Lake View,2021-05-24,20.5,61,29
Meadowlands,2021-05-25,23.5,66,23
Greenwood,2021-05-26,25.0,71,19
Woodland Park,2021-05-27,18.5,52,35
Riverside,2021-05-28,19.5,57,31
Lake View,2021-05-29,21.0,62,28
Meadowlands,2021-05-30,24.0,67,22
Greenwood,2021-05-31,25.5,72,18
Woodland Park,2021-06-01,19.0,53,34
Riverside,2021-06-02,20.0,58,30
Lake View,2021-06-03,21.5,63,27
Meadowlands,2021-06-04,24.5,68,21
Greenwood,2021-06-05,26.0,73,17
Woodland Park,2021-06-06,19.5,54,33
Riverside,2021-06-07,20.5,59,29
Lake View,2021-06-08,22.0,64,26
Meadowlands,2021-06-09,25.0,69,20
Greenwood,2021-06-10,26.5,74,16
Woodland Park,2021-06-11,20.0,55,32
Riverside,2021-06-12,21.0,60,28
Lake View,2021-06-13,22.5,65,25
Meadowlands,2021-06-14,25.5,70,19
Greenwood,2021-06-15,27.0,75,15
Woodland Park,2021-06-16,20.5,56,31
Riverside,2021-06-17,21.5,61,27
Lake View,2021-06-18,23.0,66,24
Meadowlands,2021-06-19,26.0,71,18
Greenwood,2021-06-20,27.5,76,14
Woodland Park,2021-06-21,21.0,57,30
Riverside,2021-06-22,22.0,62,26
Lake View,2021-06-23,23.5,67,23
Meadowlands,2021-06-24,26.5,72,17
Greenwood,2021-06-25,28.0,77,13
Woodland Park,2021-06-26,21.5,58,29
Riverside,2021-06-27,22.5,63,25
Lake View,2021-06-28,24.0,68,22
Meadowlands,2021-06-29,27.0,73,16
Greenwood,2021-06-30,28.5,78,12
Woodland Park,2021-07-01,22.0,59,28
Riverside,2021-07-02,23.0,64,24
Lake View,2021-07-03,24.5,69,21
Meadowlands,2021-07-04,27.5,74,15
Greenwood,2021-07-05,29.0,79,11
Woodland Park,2021-07-06,22.5,60,27
Riverside,2021-07-07,23.5,65,23
Lake View,2021-07-08,25.0,70,20
Meadowlands,2021-07-09,28.0,75,14
Greenwood,2021-07-10,29.5,80,10
Woodland Park,2021-07-11,23.0,61,26
Riverside,2021-07-12,24.0,66,22
Lake View,2021-07-13,25.5,71,19
Meadowlands,2021-07-14,28.5,76,13
Greenwood,2021-07-15,30.0,81,9
Woodland Park,2021-07-16,23.5,62,25
Riverside,2021-07-17,24.5,67,21
Lake View,2021-07-18,26.0,72,18
Meadowlands,2021-07-19,29.0,77,12
Greenwood,2021-07-20,30.5,82,8
Woodland Park,2021-07-21,24.0,63,24
Riverside,2021-07-22,25.0,68,20
Lake View,2021-07-23,26.5,73,17
Meadowlands,2021-07-24,29.5,78,11
Greenwood,2021-07-25,31.0,83,7
Woodland Park,2021-07-26,24.5,64,23
Riverside,2021-07-27,25.5,69,19
Lake View,2021-07-28,27.0,74,16
Meadowlands,2021-07-29,30.0,79,10
Greenwood,2021-07-30,31.5,84,6
Woodland Park,2021-07-31,25.0,65,22
Riverside,2021-08-01,26.0,70,18
Lake View,2021-08-02,27.5,75,15
Meadowlands,2021-08-03,30.5,80,9
Greenwood,2021-08-04,32.0,85,5
Woodland Park,2021-08-05,25.5,66,21
Riverside,2021-08-06,26.5,71,17
Lake View,2021-08-07,28.0,76,14
Meadowlands,2021-08-08,31.0,81,8
Greenwood,2021-08-09,32.5,86,4
Woodland Park,2021-08-10,26.0,67,20
Riverside,2021-08-11,27.0,72,16
Lake View,2021-08-12,28.5,77,13
Meadowlands,2021-08-13,31.5,82,7
Greenwood,2021-08-14,33.0,87,3
Woodland Park,2021-08-15,26.5,68,19
Riverside,2021-08-16,27.5,73,15
Lake View,2021-08-17,29.0,78,12
Meadowlands,2021-08-18,32.0,83,6
Greenwood,2021-08-19,33.5,88,2
Woodland Park,2021-08-20,27.0,69,18
Riverside,2021-08-21,28.0,74,14
Lake View,2021-08-22,29.5,79,11
Meadowlands,2021-08-23,32.5,84,5
Greenwood,2021-08-24,34.0,89,1
Woodland Park,2021-08-25,27.5,70,17
Riverside,2021-08-26,28.5,75,13
Lake View,2021-08-27,30.0,80,10
Meadowlands,2021-08-28,33.0,85,4
Greenwood,2021-08-29,34.5,90,0
Woodland Park,2021-08-30,28.0,71,16
Riverside,2021-08-31,29.0,76,12
Lake View,2021-09-01,30.5,81,9
Meadowlands,2021-09-02,33.5,86,3
Greenwood,2021-09-03,35.0,91,-1
Woodland Park,2021-09-04,28.5,72,15
Riverside,2021-09-05,29.5,77,11
Lake View,2021-09-06,31.0,82,8
Meadowlands,2021-09-07,34.0,87,2
Greenwood,2021-09-08,35.5,92,-2
Woodland Park,2021-09-09,29.0,73,14
Riverside,2021-09-10,30.0,78,10
Lake View,2021-09-11,31.5,83,7
Meadowlands,2021-09-12,34.5,88,1
Greenwood,2021-09-13,36.0,93,-3
Woodland Park,2021-09-14,29.5,74,13
Riverside,2021-09-15,30.5,79,9
Lake View,2021-09-16,32.0,84,6
Meadowlands,2021-09-17,35.0,89,0
Greenwood,2021-09-18,36.5,94,-4
Woodland Park,2021-09-19,30.0,75,12
Riverside,2021-09-20,31.0,80,8
Lake View,2021-09-21,32.5,85,5
Meadowlands,2021-09-22,35.5,90,-1
Greenwood,2021-09-23,37.0,95,-5
Woodland Park,2021-09-24,30.5,76,11
Riverside,2021-09-25,31.5,81,7
Lake View,2021-09-26,33.0,86,4
Meadowlands,2021-09-27,36.0,91,0
Greenwood,2021-09-28,37.5,96,-6
Woodland Park,2021-09-29,31.0,77,10
Riverside,2021-09-30,32.0,82,6
Lake View,2021-10-01,33.5,87,3
Meadowlands,2021-10-02,36.5,92,-2
Greenwood,2021-10-03,38.0,97,-7
Woodland Park,2021-10-04,31.5,78,9
Riverside,2021-10-05,32.5,83,5
Lake View,2021-10-06,34.0,88,2
Meadowlands,2021-10-07,37.0,93,-1
Greenwood,2021-10-08,38.5,98,-8
Woodland Park,2021-10-09,32.0,79,8
Riverside,2021-10-10,33.0,84,4
Lake View,2021-10-11,34.5,89,1
Meadowlands,2021-10-12,37.5,94,0
Greenwood,2021-10-13,39.0,99,-9
Woodland Park,2021-10-14,32.5,80,7
Riverside,2021-10-15,33.5,85,3
Lake View,2021-10-16,35.0,90,0
Meadowlands,2021-10-17,38.0,95,-1
Greenwood,2021-10-18,39.5,100,-10
Woodland Park,2021-10-19,33.0,81,6
Riverside,2021-10-20,34.0,86,2
Lake View,2021-10-21,35.5,91,-1
Meadowlands,2021-10-22,38.5,96,-2
Greenwood,2021-10-23,40.0,101,-11
Woodland Park,2021-10-24,33.5,82,5
Riverside,2021-10-25,34.5,87,1
Lake View,2021-10-26,36.0,92,-2
Meadowlands,2021-10-27,39.0,97,-3
Greenwood,2021-10-28,40.5,102,-12
Woodland Park,2021-10-29,34.0,83,4
Riverside,2021-10-30,35.0,88,0
Lake View,2021-10-31,36.5,93,-3
Meadowlands,2021-11-01,39.5,98,-4
Greenwood,2021-11-02,41.0,103,-13
Woodland Park,2021-11-03,34.5,84,3
Riverside,2021-11-04,35.5,89,-1
Lake View,2021-11-05,37.0,94,-4
Meadowlands,2021-11-06,40.0,99,-5
Greenwood,2021-11-07,41.5,104,-14
Woodland Park,2021-11-08,35.0,85,2
Riverside,2021-11-09,36.0,90,-2
Lake View,2021-11-10,37.5,95,-5
Meadowlands,2021-11-11,40.5,100,-6
Greenwood,2021-11-12,42.0,105,-15
Woodland Park,2021-11-13,35.5,86,1
Riverside,2021-11-14,36.5,91,-3
Lake View,2021-11-15,38.0,96,-6
Meadowlands,2021-11-16,41.0,101,-7
Greenwood,2021-11-17,42.5,106,-16
Woodland Park,2021-11-18,36.0,87,0
Riverside,2021-11-19,37.0,92,-4
Lake View,2021-11-20,38.5,97,-7
Meadowlands,2021-11-21,41.5,102,-8
Greenwood,2021-11-22,43.0,107,-17
Woodland Park,2021-11-23,36.5,88,-1
Riverside,2021-11-24,37.5,93,-5
Lake View,2021-11-25,39.0,98,-8
Meadowlands,2021-11-26,42.0,103,-9
Greenwood,2021-11-27,43.5,108,-18
Woodland Park,2021-11-28,37.0,89,-2
Riverside,2021-11-29,38.0,94,-6
Lake View,2021-11-30,39.5,99,-9
Meadowlands,2021-12-01,42.5,104,-10
Greenwood,2021-12-02,44.0,109,-19
Woodland Park,2021-12-03,37.5,90,-3
Riverside,2021-12-04,38.5,95,-7
Lake View,2021-12-05,40.0,100,-10
Meadowlands,2021-12-06,43.0,105,-11
Greenwood,2021-12-07,44.5,110,-20
Woodland Park,2021-12-08,38.0,91,-4
Riverside,2021-12-09,39.0,96,-8
Lake View,2021-12-10,40.5,101,-11
Meadowlands,2021-12-11,43.5,106,-12
Greenwood,2021-12-12,45.0,111,-21
Woodland Park,2021-12-13,38.5,92,-5
Riverside,2021-12-14,39.5,97,-9
Lake View,2021-12-15,41.0,102,-12
Meadowlands,2021-12-16,44.0,107,-13
Greenwood,2021-12-17,45.5,112,-22
Woodland Park,2021-12-18,39.0,93,-6
Riverside,2021-12-19,40.0,98,-10
