ObservationId,SpeciesId,Location,Date,Quantity
1,1,Woodland Park,2021-04-22,12
2,2,Riverside,2021-04-23,9
3,3,Lake View,2021-04-24,20
4,4,Meadowlands,2021-04-25,15
5,5,Greenwood,2021-04-26,30
6,6,Forest Hills,2021-04-27,18
7,7,Mountainside,2021-04-28,22
8,8,Sunrise Valley,2021-04-29,10
9,9,Maplewood,2021-04-30,25
10,10,Willow Creek,2021-05-01,17
11,11,Ocean View,2021-05-02,14
12,12,Valley Stream,2021-05-03,28
13,13,Hilltop Gardens,2021-05-04,21
14,14,Silver Lake,2021-05-05,11
15,15,Highland Park,2021-05-06,16
16,16,Sunset Ridge,2021-05-07,19
17,17,Riverbank,2021-05-08,23
18,18,Golden Fields,2021-05-09,8
19,19,Cherry Blossom Grove,2021-05-10,13
20,20,Whispering Pines,2021-05-11,24
21,21,Misty Meadows,2021-05-12,27
22,22,Redwood Forest,2021-05-13,26
23,23,Tranquil Waters,2021-05-14,29
24,24,Starlight Heights,2021-05-15,31
25,25,Springfield,2021-05-16,32
26,26,Birchwood,2021-05-17,33
27,27,Sunflower Fields,2021-05-18,34
28,28,Magnolia Grove,2021-05-19,35
29,29,Bluebell Valley,2021-05-20,36
30,30,Mountain View,2021-05-21,37
31,31,Lily Lake,2021-05-22,38
32,32,Cedar Crest,2021-05-23,39
33,33,Pine Ridge,2021-05-24,40
34,34,Forest Brook,2021-05-25,41
35,35,Wildflower Fields,2021-05-26,42
36,36,Oakwood Park,2021-05-27,43
37,37,Lavender Hills,2021-05-28,44
38,38,Rosewood Estate,2021-05-29,45
39,39,Willow Woods,2021-05-30,46
40,40,Sycamore Glen,2021-05-31,47
41,41,Mountain Crest,2021-06-01,48
42,42,Sunrise Ridge,2021-06-02,49
43,43,Amber Meadows,2021-06-03,50
44,44,Morning Mist,2021-06-04,51
45,45,Evening Glow,2021-06-05,52
46,46,Harmony Hill,2021-06-06,53
47,47,Peaceful Pines,2021-06-07,54
48,48,Serene Valley,2021-06-08,55
49,49,Tranquility Bay,2021-06-09,56
50,50,Sunset Valley,2021-06-10,57
51,51,Garden of Dreams,2021-06-11,58
52,52,Whispering Meadows,2021-06-12,59
53,53,Maple Grove,2021-06-13,60
54,54,Forest Haven,2021-06-14,61
55,55,Peaceful Valley,2021-06-15,62
56,56,Hidden Hollow,2021-06-16,63
57,57,Moonlit Grove,2021-06-17,64
58,58,Sunrise Garden,2021-06-18,65
59,59,Tranquil Woods,2021-06-19,66
60,60,Garden of Eden,2021-06-20,67
61,61,Golden Sunset,2021-06-21,68
62,62,Rainbow Valley,2021-06-22,69
63,63,Paradise Point,2021-06-23,70
64,64,Blissful Haven,2021-06-24,71
65,65,Dreamland Meadows,2021-06-25,72
66,66,Sunrise Harbor,2021-06-26,73
67,67,Starlight Cove,2021-06-27,74
68,68,Tranquility Cove,2021-06-28,75
69,69,Sunrise Beach,2021-06-29,76
70,70,Secret Garden,2021-06-30,77
71,71,Enchanted Forest,2021-07-01,78
72,72,Moonlit Beach,2021-07-02,79
73,73,Starry Night,2021-07-03,80
74,74,Twilight Meadow,2021-07-04,81
75,75,Serenity Beach,2021-07-05,82
76,76,Tranquil Shores,2021-07-06,83
77,77,Sunrise Cove,2021-07-07,84
78,78,Moonlight Bay,2021-07-08,85
79,79,Starlight Shores,2021-07-09,86
80,80,Harmony Cove,2021-07-10,87
81,81,Secret Cove,2021-07-11,88
82,82,Paradise Beach,2021-07-12,89
83,83,Blissful Shores,2021-07-13,90
84,84,Starry Cove,2021-07-14,91
85,85,Dreamy Shores,2021-07-15,92
86,86,Sunrise Bay,2021-07-16,93
87,87,Golden Sands,2021-07-17,94
88,88,Tranquil Bay,2021-07-18,95
89,89,Starlight Beach,2021-07-19,96
90,90,Sunset Shores,2021-07-20,97
91,91,Tranquility Beach,2021-07-21,98
92,92,Hidden Shores,2021-07-22,99
93,93,Harmony Beach,2021-07-23,100
94,94,Whispering Shores,2021-07-24,101
95,95,Moonlit Shores,2021-07-25,102
96,96,Starlight Bay,2021-07-26,103
97,97,Golden Shores,2021-07-27,104
98,98,Tranquility Bay,2021-07-28,105
99,99,Sunrise Shores,2021-07-29,106
100,100,Paradise Cove,2021-07-30,107
101,101,Blissful Bay,2021-07-31,108
102,102,Starry Cove,2021-08-01,109
